2025-04-07 13:30:01,637 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:06,645 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:11,674 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:16,681 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:21,688 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:26,717 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:31,727 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:36,736 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:41,748 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:46,760 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:51,779 | 201 Created | Dados enviados com sucesso
2025-04-07 13:30:56,799 | 201 Created | Dados enviados com sucesso
2025-04-07 13:31:01,809 | 201 Created | Dados enviados com sucesso
2025-04-07 13:31:12,124 | 201 Created | Dados enviados com sucesso
2025-04-07 13:31:32,753 | 201 Created | Dados enviados com sucesso
2025-04-07 13:31:37,763 | 201 Created | Dados enviados com sucesso
2025-04-07 13:31:42,779 | 201 Created | Dados enviados com sucesso
2025-04-07 13:31:47,788 | 201 Created | Dados enviados com sucesso
2025-04-07 13:31:52,797 | 201 Created | Dados enviados com sucesso
2025-04-07 13:31:57,821 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:02,830 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:07,840 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:12,849 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:17,862 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:22,871 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:27,884 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:32,894 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:37,902 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:42,909 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:47,917 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:52,939 | 201 Created | Dados enviados com sucesso
2025-04-07 13:32:57,966 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:02,976 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:07,986 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:13,020 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:18,029 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:23,037 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:28,045 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:33,076 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:38,086 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:43,094 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:48,102 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:53,111 | 201 Created | Dados enviados com sucesso
2025-04-07 13:33:58,141 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:03,154 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:08,162 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:13,178 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:18,213 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:25,079 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:30,090 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:35,098 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:40,109 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:45,118 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:50,129 | 201 Created | Dados enviados com sucesso
2025-04-07 13:34:55,161 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:00,178 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:05,191 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:10,204 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:15,217 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:20,255 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:25,272 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:30,285 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:35,298 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:40,311 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:45,324 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:50,339 | 201 Created | Dados enviados com sucesso
2025-04-07 13:35:55,355 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:00,367 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:05,379 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:10,392 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:15,400 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:20,410 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:25,420 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:30,429 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:35,443 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:40,453 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:45,464 | 201 Created | Dados enviados com sucesso
